Sample,Condition,CellLine,AspectRatio
1,Random,Bone Clone,1.96019550184443
1,Random,Bone Clone,1.58803638199252
1,Random,Bone Clone,1.14455705424406
1,Random,Bone Clone,2.35571203918776
1,Random,Bone Clone,1.79948207562982
1,Random,Bone Clone,1.24166426897278
1,Random,Bone Clone,1.35194375998264
1,Random,Bone Clone,1.32030314697715
1,Random,Bone Clone,1.5719575958977
1,Random,Bone Clone,1.69194681645769
1,Random,Bone Clone,1.30357059420645
1,Random,Bone Clone,1.79366311682631
1,Random,Bone Clone,1.30105302160667
1,Random,Bone Clone,1.48778766186014
1,Random,Bone Clone,1.11413022044622
1,Random,Bone Clone,2.09648191931129
1,Random,Bone Clone,1.11285789203835
1,Random,Bone Clone,1.37504735539313
1,Random,Bone Clone,1.57885883236352
1,Random,Bone Clone,1.78428366337134
1,Random,Bone Clone,2.13492807022126
1,Random,Bone Clone,2.37909035319573
1,Random,Bone Clone,1.67117157678289
1,Random,Bone Clone,1.43899747692422
1,Random,Bone Clone,2.24115787008931
1,Random,Bone Clone,1.22680980312842
1,Random,Bone Clone,1.2860695912536
1,Random,Bone Clone,1.28981895453892
1,Random,Bone Clone,3.32359061580955
1,Random,Bone Clone,1.21531048490476
1,Random,Bone Clone,2.81723667778255
1,Random,Bone Clone,1.31791170493648
1,Random,Bone Clone,1.60697648055086
1,Random,Bone Clone,1.12062691331934
1,Random,Bone Clone,1.40176321541497
1,Random,Bone Clone,1.18347383003062
1,Random,Bone Clone,1.26166989600042
1,Random,Bone Clone,1.38103445246763
1,Random,Bone Clone,1.96455649490032
1,Random,Bone Clone,1.34168470799189
1,Random,Bone Clone,1.18317242253339
1,Random,Bone Clone,2.44838220316323
1,Random,Bone Clone,2.58806865755007
1,Random,Bone Clone,1.27960053559894
1,Random,Bone Clone,1.55950700013769
1,Random,Bone Clone,1.75467459330245
1,Random,Bone Clone,2.0111195902975
1,Random,Bone Clone,1.25109617955036
1,Random,Bone Clone,1.25109058338536
1,Random,Bone Clone,1.45645946067873
1,Random,Bone Clone,1.97962803327924
1,Random,Bone Clone,2.00939395349462
1,Random,Bone Clone,1.41256196267712
1,Random,Bone Clone,1.93198349091738
1,Random,Bone Clone,1.71480540063444
1,Random,Bone Clone,2.21010201705141
1,Random,Bone Clone,1.40030761863711
1,Random,Bone Clone,1.11641704510251
1,Random,Bone Clone,1.13260814454526
1,Random,Bone Clone,1.42644501003962
1,Random,Bone Clone,1.32994837681148
1,Random,Bone Clone,1.21892190792987
1,Random,Bone Clone,1.14911150168375
